NAME                                                               VERSION                                TYPE        
AsyncKeyedLock                                                     8.0.2                                  dotnet       
BDInfo                                                             0.8.0                                  dotnet       
BitFaster.Caching                                                  2.6.0                                  dotnet       
BlurHashSharp                                                      1.4.0-pre.1                            dotnet       
BlurHashSharp.SkiaSharp                                            1.4.0-pre.1                            dotnet       
CommandLineParser                                                  2.9.1                                  dotnet       
Diacritics                                                         4.1.8                                  dotnet       
DiscUtils.Core                                                     0.16.13                                dotnet       
DiscUtils.Iso9660                                                  0.16.13                                dotnet       
DiscUtils.Streams                                                  0.16.13                                dotnet       
DiscUtils.Udf                                                      0.16.13                                dotnet       
DotNet.Glob                                                        3.1.3                                  dotnet       
Emby.Naming                                                        12.0.0.0                               dotnet       
Emby.Photos                                                        26.4.0                                 dotnet       
Emby.Server.Implementations                                        26.4.0                                 dotnet       
ExCSS                                                              4.3.1                                  dotnet       
HarfBuzzSharp                                                      8.3.1.5                                dotnet       
HarfBuzzSharp.NativeAssets.Linux                                   8.3.1.5                                dotnet       
ICU4N                                                              60.1.0-alpha.356                       dotnet       
ICU4N.Transliterator                                               60.1.0-alpha.356                       dotnet       
Ignore                                                             0.2.1                                  dotnet       
J2N                                                                2.0.0                                  dotnet       
Jellyfin.Api                                                       26.4.0                                 dotnet       
Jellyfin.CodeAnalysis                                              26.4.0                                 dotnet       
Jellyfin.Common                                                    26.4.0                                 dotnet       
Jellyfin.Controller                                                26.4.0                                 dotnet       
Jellyfin.Data                                                      26.4.0                                 dotnet       
Jellyfin.Database.Implementations                                  26.4.0                                 dotnet       
Jellyfin.Database.Providers.Sqlite                                 26.4.0                                 dotnet       
Jellyfin.Drawing                                                   26.4.0                                 dotnet       
Jellyfin.Drawing.Skia                                              26.4.0                                 dotnet       
Jellyfin.Extensions                                                26.4.0                                 dotnet       
Jellyfin.LiveTv                                                    26.4.0                                 dotnet       
Jellyfin.MediaEncoding.Hls                                         26.4.0                                 dotnet       
Jellyfin.MediaEncoding.Keyframes                                   26.4.0                                 dotnet       
Jellyfin.Model                                                     26.4.0                                 dotnet       
Jellyfin.Naming                                                    26.4.0                                 dotnet       
Jellyfin.Networking                                                26.4.0                                 dotnet       
Jellyfin.Server.Implementations                                    26.4.0                                 dotnet       
Jellyfin.XmlTv                                                     10.12.0-pre1                           dotnet       
LrcParser                                                          2025.623.0                             dotnet       
MediaBrowser.Common                                                12.0.0.0                               dotnet       
MediaBrowser.Controller                                            12.0.0.0                               dotnet       
MediaBrowser.LocalMetadata                                         26.4.0                                 dotnet       
MediaBrowser.MediaEncoding                                         26.4.0                                 dotnet       
MediaBrowser.Model                                                 12.0.0.0                               dotnet       
MediaBrowser.Providers                                             26.4.0                                 dotnet       
MediaBrowser.XbmcMetadata                                          26.4.0                                 dotnet       
MetaBrainz.Common                                                  4.1.1                                  dotnet       
MetaBrainz.Common.Json                                             7.2.0                                  dotnet       
MetaBrainz.MusicBrainz                                             8.0.1                                  dotnet       
Microsoft.Data.Sqlite.Core                                         10.0.10                                dotnet       
Microsoft.EntityFrameworkCore                                      10.0.10                                dotnet       
